title,price,moq,rating,reviews,sold,supplier,isVerified,imageUrl,productUrl,supplierYears,supplierCountry,sellingPoint,isCertified,badges,isAd,hasVideo
"LVTONG Heavy Duty Industrial Floor Sweeper Truck with Garbage Collection Function","GHS 63,695.28-66,107.98","Min. order: 1 set","N/A","0","1 sold","Guangdong Lvtong New Energy Electric Vehicle Technology Co., Ltd.","true","https://s.alicdn.com/@sc04/kf/H97d77c530dda492da34274be19f099c5r.jpg_300x300.jpg","https://www.alibaba.com/product-detail/LVTONG-Heavy-Duty-Industrial-Floor-Sweeper_1601535277214.html?priceId=c1c4f8114bff4634beabf2729dd591e6","2 yrs","CN","Reorder rate 25%","true","","false","false"
"Secondhand JCB3CX Backhoe Loading Machine 7.4 Ton Utility Trenching JCB4CX JCB3DX JCB 3CX Construction Machinery Exporter","GHS 180,952.50-337,778","Min. order: 1 unit","N/A","0","0","Shanghai Rongquan Machinery Co., Ltd.","true","https://s.alicdn.com/@sc04/kf/H5f7259106854487fac8ad8c8c0c85b45Q.jpg_300x300.jpg","https://www.alibaba.com/product-detail/Secondhand-JCB3CX-Backhoe-Loading-Machine-7_1601921196718.html?priceId=c1c4f8114bff4634beabf2729dd591e6","1 yr","CN","","true","","false","false"
"Used Shacman 8x4 Heavy Duty Dump Truck 12 Wheeler Euro 3 380HP Weichai Diesel Tipper for Sand and Mining Transport","GHS 60,317.50-107,365.15","Min. order: 1 unit","N/A","0","0","Shandong Lion King International Trade Co., Ltd.","true","https://s.alicdn.com/@sc04/kf/Hd7f8107f822941019ff91a0830be6977d.jpg_300x300.jpg","https://www.alibaba.com/product-detail/Used-Shacman-8x4-Heavy-Duty-Dump_12000002654538.html?priceId=c1c4f8114bff4634beabf2729dd591e6","1 yr","CN","5% off GHS 22,500","false","","false","false"
"Multifunctional Labor-saving Electric Remote 8m Arm Drive Customizable Smoke Removal Welding Boom For Truck Chassis Processing","GHS 7,720.64-9,530.17","Min. order: 5 sets","N/A","0","0","Tai'an Xutai Machinery Co., Ltd.","false","https://s.alicdn.com/@sc04/kf/Hd37268496efb40568a126ede1cf67d7dx.jpg_300x300.jpg","https://www.alibaba.com/product-detail/Multifunctional-Labor-saving-Electric-Remote-8m_1601919642235.html?priceId=c1c4f8114bff4634beabf2729dd591e6","3 yrs","CN","","false","","false","false"
"HOWO 4X2 Tipper Truck 10 Ton Dump Truck with Strong Chassis and Reliable Diesel Engine","GHS 96,508-156,825.50","Min. order: 1 unit","N/A","0","0","Shandong Lion King International Trade Co., Ltd.","true","https://s.alicdn.com/@sc04/kf/Af354becfcd1b463396d70df3d11347c4N.jpg_300x300.jpg","https://www.alibaba.com/product-detail/HOWO-4X2-Tipper-Truck-10-Ton_12000002645423.html?priceId=c1c4f8114bff4634beabf2729dd591e6","1 yr","CN","5% off GHS 22,500","false","","false","false"
"Customize Factory Price New CKD Refrigerated Truck Body Box For Dongfeng/Jiefang Trucks PU/XPS Insulation 15 Years Service Life","GHS 37,396.85-43,307.97","Min. order: 1 unit","5.0","2","0","Qingdao Yakai Automotive Industry And Trade Co., Ltd.","true","https://s.alicdn.com/@sc04/kf/Hf58ae7f3b82949c9aad9fed6244237f3l.jpg_300x300.jpg","https://www.alibaba.com/product-detail/Customize-Factory-Price-New-CKD-Refrigerated_1601456151443.html?priceId=c1c4f8114bff4634beabf2729dd591e6","4 yrs","CN","5% off GHS 22,500","true","","false","false"
"Coffee Food Truck Mobile Beverage Cart Customized Street Catering Trailer Snack Drink Service TUNE Small Size Basic Customized","GHS 36,190.50","Min. order: 5 units","N/A","0","0","AUTODISTRIBUTION","false","https://s.alicdn.com/@sc04/kf/A789fcafbc524431c970600780737c8c9S.jpeg_300x300.jpeg","https://www.alibaba.com/product-detail/Coffee-Food-Truck-Mobile-Beverage-Cart_12000002630625.html?priceId=c1c4f8114bff4634beabf2729dd591e6","1 yr","FR","","false","","false","false"
"China NongJian Diesel Engine Concrete Pump Truck Container 33M High Efficiency SITRAK Chassis 360 Rotation 120M/H Air-cooled","GHS 2,292,065","Min. order: 1 set","N/A","0","0","Changyuan County Nongjian Machinery Equipment Co., Ltd.","false","https://s.alicdn.com/@sc04/kf/H84d4225fcefd47c6bc7942e0a0bdf69cq.jpg_300x300.jpg","https://www.alibaba.com/product-detail/China-NongJian-Diesel-Engine-Concrete-Pump_1601268863657.html?priceId=c1c4f8114bff4634beabf2729dd591e6","6 yrs","CN","","false","","false","false"
"African Hot SINOTRUK HOWO 6x4Tractor Truck Head Durable Diesel Engine for Logistics Operations","GHS 156,825.50-205,079.50","Min. order: 1 unit","N/A","0","0","Shandong Lion King International Trade Co., Ltd.","true","https://s.alicdn.com/@sc04/kf/A5cb42c9a5c6a4a7fa5ea154d874f2a9fu.jpg_300x300.jpg","https://www.alibaba.com/product-detail/African-Hot-SINOTRUK-HOWO-6x4Tractor-Truck_12000002624608.html?priceId=c1c4f8114bff4634beabf2729dd591e6","1 yr","CN","5% off GHS 22,500","false","","false","false"
"Second-hand Kalmar DCF100-45E7 Empty Container Handler 10 Ton Low Working Hours Forklift Stacker Truck Powerful Engine","GHS 711,746.50","Min. order: 1 unit","N/A","0","0","Yiwu Yuanzhong E- Commerce Firm","false","https://s.alicdn.com/@sc04/kf/He116a2bd920a4d68992e1833fe048d00X.jpg_300x300.jpg","https://www.alibaba.com/product-detail/Second-hand-Kalmar-DCF100-45E7-Empty_1601450154779.html?priceId=c1c4f8114bff4634beabf2729dd591e6","6 yrs","CN","","false","","false","false"
"Reliable Used Shacman Dump Truck 8x4 12 Wheeler 380HP Euro 3 Weichai Engine 30-40T Load Capacity Mining Tipper Truck for","GHS 72,381-102,539.75","Min. order: 1 unit","N/A","0","0","Shandong Lion King International Trade Co., Ltd.","true","https://s.alicdn.com/@sc04/kf/A56323c9e625e438691e3e738f5af0e32S.jpg_300x300.jpg","https://www.alibaba.com/product-detail/Reliable-Used-Shacman-Dump-Truck-8x4_12000002624605.html?priceId=c1c4f8114bff4634beabf2729dd591e6","1 yr","CN","5% off GHS 22,500","false","","false","false"
"Second-hand Kalmar DCF100-45E7 Empty Container Handler Lifter Low Working Hours Forklift Stacker Sidelift Truck High Efficiency","GHS 711,746.50","Min. order: 1 unit","N/A","0","0","Yiwu Yuanzhong E- Commerce Firm","false","https://s.alicdn.com/@sc04/kf/H105cdc5c1d884e62a7b245cb22d1dde4y.png_300x300.png","https://www.alibaba.com/product-detail/Second-hand-Kalmar-DCF100-45E7-Empty_1601455429954.html?priceId=c1c4f8114bff4634beabf2729dd591e6","6 yrs","CN","","false","","false","false"
"SINOTRUCK Howo 4X2 Dump Truck 10T Tipper Truck Manual Transmission Construction Dumping Vehicle for African Market","GHS 108,571.50-144,762","Min. order: 1 unit","N/A","0","0","Shandong Lion King International Trade Co., Ltd.","true","https://s.alicdn.com/@sc04/kf/A3da08fb6f9cb490dbb7c859901a94b1bB.jpg_300x300.jpg","https://www.alibaba.com/product-detail/SINOTRUCK-Howo-4X2-Dump-Truck-10T_12000002609599.html?priceId=c1c4f8114bff4634beabf2729dd591e6","1 yr","CN","5% off GHS 22,500","false","","false","false"
"Used Kalmar DCF100-45E7 Empty Container Handler Lifter Low Working Hours Stacker Sidelift Truck Cummins Engine New Arrival","GHS 784,127.50","Min. order: 1 unit","N/A","0","0","Yiwu Yuanzhong E- Commerce Firm","false","https://s.alicdn.com/@sc04/kf/H5d840b76a53743ff8dabd14081ddaf9cL.png_300x300.png","https://www.alibaba.com/product-detail/Used-Kalmar-DCF100-45E7-Empty-Container_1601455451687.html?priceId=c1c4f8114bff4634beabf2729dd591e6","6 yrs","CN","","false","","false","false"
"CE Certified Commercial Mobile Food Truck Trailer Kitchen Insulated Walls Heavy-Duty Stainless Steel Frame Rust Resistant Chips","GHS 24,127","Min. order: 1 unit","N/A","0","0","CARREFOUR IMPORT","false","https://s.alicdn.com/@sc04/kf/A66570b242bf44d7db84630e98d8672dbK.jpeg_300x300.jpeg","https://www.alibaba.com/product-detail/CE-Certified-Commercial-Mobile-Food-Truck_12000002394643.html?priceId=c1c4f8114bff4634beabf2729dd591e6","1 yr","FR","","false","","false","false"
"LUZUN Manufacturer 2.6cbm Small Self Loading Diesel Engine Concrete Mixer Truck With Hydraulic Pump And High Load Moment","GHS 168,889","Min. order: 1 set","5.0","1","0","Laizhou Luzun Machinery Co., Ltd.","false","https://s.alicdn.com/@sc04/kf/Hdc40862d5f6f48c594e713ea2a2b0adcs.png_300x300.png","https://www.alibaba.com/product-detail/LUZUN-Manufacturer-2-6cbm-Small-Self_1601780214687.html?priceId=c1c4f8114bff4634beabf2729dd591e6","8 yrs","CN","1-year warranty","false","","false","false"
"Customized Stainless Steel Aluminum Food Truck Kitchen for Sale Candy Fast Food Service Low Price Offer Direct Factory Rust","GHS 24,127","Min. order: 1 unit","N/A","0","0","CARREFOUR IMPORT","false","https://s.alicdn.com/@sc04/kf/A0f79bb6553554bc08e9787397ad5c020Q.jpeg_300x300.jpeg","https://www.alibaba.com/product-detail/Customized-Stainless-Steel-Aluminum-Food-Truck_12000002379628.html?priceId=c1c4f8114bff4634beabf2729dd591e6","1 yr","FR","","false","","false","false"
"BLFang Brand New Dongfeng 16 Ft PU Foam Insulated Transport Meat/Vegetable Sandwich Panel Refrigerated Truck Body","GHS 8,323.82-9,771.44","Min. order: 1 unit","5.0","2","0","Qingdao Yakai Automotive Industry And Trade Co., Ltd.","true","https://s.alicdn.com/@sc04/kf/Hfc7381410d6446bdbc82aae680841383o.jpg_300x300.jpg","https://www.alibaba.com/product-detail/BLFang-Brand-New-Dongfeng-16-Ft_1601055023379.html?priceId=c1c4f8114bff4634beabf2729dd591e6","4 yrs","CN","5% off GHS 22,500","true","","false","false"
"Commercial Aluminum Food Trailer Mobile Food Truck Fast Food Service Rust Resistant Candy Chips Snack Food Hotdog Ice Cream","GHS 33,777.80","Min. order: 1 unit","N/A","0","0","MIDOKI SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA.","false","https://s.alicdn.com/@sc04/kf/A7affca7b421f4ffba5940d49219305d0L.jpeg_300x300.jpeg","https://www.alibaba.com/product-detail/Commercial-Aluminum-Food-Trailer-Mobile-Food_12000002266785.html?priceId=c1c4f8114bff4634beabf2729dd591e6","1 yr","PL","","false","","false","false"
"Sinotruk SITRAK Diesel Engine Motor Concrete Pump Truck 37m Vertical Reach 140M3/H 213KW/257KW Output Power High Efficiency","GHS 1,447,620-1,809,525","Min. order: 1 set","N/A","0","0","Changyuan County Nongjian Machinery Equipment Co., Ltd.","false","https://s.alicdn.com/@sc04/kf/Hc78bac04d33f4757af05b5729449ae23w.jpg_300x300.jpg","https://www.alibaba.com/product-detail/Sinotruk-SITRAK-Diesel-Engine-Motor-Concrete_1600296284359.html?priceId=c1c4f8114bff4634beabf2729dd591e6","6 yrs","CN","","false","","false","false"
"BBQ Snack Fast Food Towable Food Trailer Fully Equipped Stainless Steel Multifunctional GPS Tracking Street Vending Full Kitchen","GHS 18,095.25-25,333.35","Min. order: 1 unit","N/A","0","0","SRL CONAGRAM","false","https://s.alicdn.com/@sc04/kf/A63d16736d7ff4546a7c64f616ecf5408Y.jpeg_300x300.jpeg","https://www.alibaba.com/product-detail/BBQ-Snack-Fast-Food-Towable-Food_12000002082273.html?priceId=c1c4f8114bff4634beabf2729dd591e6","1 yr","BE","","false","","false","false"
"Factory Price Heavy Duty U-Shape 5 Axles End Tipper 60T 80T Steel Dump Truck Semi Tipping Trailers Air Suspension Competitive","GHS 72,381-150,793.75","Min. order: 1 unit","N/A","0","0","Shandong Starway Vehicle Co.,Ltd","false","https://s.alicdn.com/@sc04/kf/H6579707d256944fdbbf325208da091cfN.png_300x300.png","https://www.alibaba.com/product-detail/Factory-Price-Heavy-Duty-U-Shape_1601859928499.html?priceId=c1c4f8114bff4634beabf2729dd591e6","3 yrs","CN","","false","","false","false"
"Wholesale Aluminum Fiberglass Food Truck Full Kitchen Mobile BBQ Rust Resistant Premium Quality 1.5 Year Warranty Easy Assembly","GHS 12,063.50-18,095.25","Min. order: 1 unit","N/A","0","0","AURELLO TRADING COMPANY","false","https://s.alicdn.com/@sc04/kf/A9fd88c1f7bd34e3c8e30b576bc56d374F.png_300x300.png","https://www.alibaba.com/product-detail/Wholesale-Aluminum-Fiberglass-Food-Truck-Full_12000002048883.html?priceId=c1c4f8114bff4634beabf2729dd591e6","1 yr","FR","","false","","false","false"
"Durable Diesel 11 Years Sinotruk HOWO 47 Meters Concrete Pump Truck 42.6 Meters Horizontal Delivery Distance High Efficiency","GHS 2,050,795-2,292,065","Min. order: 1 set","N/A","0","0","Changyuan County Nongjian Machinery Equipment Co., Ltd.","false","https://s.alicdn.com/@sc04/kf/H946864edaf9747a69d103223f606a6b23.jpg_300x300.jpg","https://www.alibaba.com/product-detail/Durable-Diesel-11-Years-Sinotruk-HOWO_1601461439716.html?priceId=c1c4f8114bff4634beabf2729dd591e6","6 yrs","CN","","false","","false","false"
"Customized Fiberglass Aluminum Frame Mobile Food Truck Trailer Full Kitchen Fast Food Hotdog Coffee Smoothie Icecream Rust","GHS 9,650.80-12,063.50","Min. order: 1 unit","N/A","0","0","AURELLO TRADING COMPANY","false","https://s.alicdn.com/@sc04/kf/A1b86b4eb9963479e9361aadb3d1b030e3.png_300x300.png","https://www.alibaba.com/product-detail/Customized-Fiberglass-Aluminum-Frame-Mobile-Food_12000002014899.html?priceId=c1c4f8114bff4634beabf2729dd591e6","1 yr","FR","","false","","false","false"
"4 Axle 40/50 Cbm Bottom Discharge/Unloading Bulk Cement/Fly Ash/Flour/Powder Material Transport Tank/Tanker Heavy Duty Truck","GHS 107,365.15-118,222.30","Min. order: 1 unit","N/A","0","0","Shandong Starway Vehicle Co.,Ltd","false","https://s.alicdn.com/@sc04/kf/H96c17870dfa14e77a53bf87d1fbe96f3J.png_300x300.png","https://www.alibaba.com/product-detail/4-Axle-40-50-Cbm-Bottom_1601840079135.html?priceId=c1c4f8114bff4634beabf2729dd591e6","3 yrs","CN","","false","","false","false"
"Affordable 4m Fully Equipped Food Truck Customized Food Trailer With Full Kitchen Equipments","GHS 18,095.25-25,333.35","Min. order: 1 unit","N/A","0","0","SRL CONAGRAM","false","https://s.alicdn.com/@sc04/kf/Ae8b3f61a2dc840fca7716534bd5a20250.jpeg_300x300.jpeg","https://www.alibaba.com/product-detail/Affordable-4m-Fully-Equipped-Food-Truck_12000001936546.html?priceId=c1c4f8114bff4634beabf2729dd591e6","1 yr","BE","","false","","false","false"
