badges,hasVideo,imageUrl,isAd,isCertified,isVerified,moq,price,productUrl,rating,reviews,sellingPoint,sold,supplier,supplierCountry,supplierYears,title
"","false","https://s.alicdn.com/@sc04/kf/HTB1KwY9XQ5E3KVjSZFCq6zuzXXax.jpg_300x300.jpg","false","false","true","Min. order: 1 set","GHS 190,603.30","https://www.alibaba.com/product-detail/Shacman-Sinotruck-Beiben-Jac-Faw-Howo_62127413569.html?priceId=51b79f2d6acb4546a36b8cb0c703fbec","4.6","8","Reorder rate 41%","0","Shanghai Canmax Electronic & Mechanical Equipment Co., Ltd.","CN","16 yrs","Shacman Sinotruck Beiben Jac Faw Howo Dump Truck Price 4x2 6x4 8x4 Tipper Truck for Sale"
"","false","https://s.alicdn.com/@sc04/kf/Hbe7af957c0654826979bbf6d635163f6D.jpg_300x300.jpg","false","true","true","Min. order: 1 unit","GHS 144,749.94-193,003.94","https://www.alibaba.com/product-detail/CAT-966G-Front-End-Loader-Second_1601920179269.html?priceId=51b79f2d6acb4546a36b8cb0c703fbec","N/A","0","","0","Shanghai Rongquan Machinery Co., Ltd.","CN","1 yr","CAT 966G Front End Loader Second Hand 6 Ton Construction Machinery Exporter For Bulk Loading CAT950G CAT972G CAT966H CAT966G"
"","false","https://s.alicdn.com/@sc04/kf/H66b4b485eb30458ba2005fb484a149777.jpg_300x300.jpg","false","false","true","Min. order: 1 unit","GHS 186,984.25-273,841.45","https://www.alibaba.com/product-detail/Used-Sinotruk-Howo-371-Heavy-Duty_1601472269431.html?priceId=51b79f2d6acb4546a36b8cb0c703fbec","5.0","7","","0","Taihang International Trade (shandong) Co., Ltd.","CN","2 yrs","Used Sinotruk Howo 371 Heavy Duty 8x4 Commercial Truck with Sino Box Cargo Van Diesel Fuel 12 Wheel Lorry Trucks for Sale"
"","false","https://s.alicdn.com/@sc04/kf/H919e6e1a837243f096eb130d48587b8cF.png_300x300.png","false","false","false","Min. order: 1 set","GHS 180,952.50","https://www.alibaba.com/product-detail/LUZUN-2-6cbm-Mini-Self-Loading_1601820362149.html?priceId=51b79f2d6acb4546a36b8cb0c703fbec","5.0","1","1-year warranty","0","Laizhou Luzun Machinery Co., Ltd.","CN","8 yrs","LUZUN 2.6cbm Mini Self Loading Diesel Engine Concrete Mixer Truck With Hydraulic Pump & Motor High Load Moment"
"","false","https://s.alicdn.com/@sc04/kf/A55100b2435674a1d97e1473427967f40C.jpg_300x300.jpg","false","false","true","Min. order: 1 unit","GHS 132,698.50-139,936.60","https://www.alibaba.com/product-detail/Good-Condition-Sinotruck-Howo-371-Used_1601004548493.html?priceId=51b79f2d6acb4546a36b8cb0c703fbec","N/A","0","","0","Shandong Ant Automobile Technology Co., Ltd.","CN","5 yrs","Good Condition Sinotruck Howo 371 Used Tipper 6x4 8x4 Mining 30 Cubic Meters 31Ton Tipper Dump Truck for Africa"
"","false","https://s.alicdn.com/@sc04/kf/Hba9707c8a7334623a11cea243244808aq.jpg_300x300.jpg","false","true","true","Min. order: 1 unit","GHS 5,066.67-7,479.37","https://www.alibaba.com/product-detail/New-CKD-PU-Foam-Dongfeng-Jiefang_1601590520366.html?priceId=51b79f2d6acb4546a36b8cb0c703fbec","5.0","2","5% off GHS 22,500","0","Qingdao Yakai Automotive Industry And Trade Co., Ltd.","CN","4 yrs","New CKD PU Foam Dongfeng Jiefang Transport Meat Vegetable Ice Cream Insulated Sandwich Panel Refrigerator Truck Box Body"
"","false","https://s.alicdn.com/@sc04/kf/H69771c5b822e4d0aa9aaab3719aca14dz.jpg_300x300.jpg","false","false","true","Min. order: 1 set","GHS 12,063.50-36,190.50","https://www.alibaba.com/product-detail/In-Stock-Second-Hand-Used-Sinotruck_1601214856711.html?priceId=51b79f2d6acb4546a36b8cb0c703fbec","5.0","3","5% off GHS 22,500","74 sold","Oreno (Liangshan) International Trade Co., Ltd.","CN","5 yrs","In Stock Second Hand Used Sinotruck Howo 6x4 8x4 10 Wheel 40 Cubic Dump Trucks Used Trucks"
"","false","https://s.alicdn.com/@sc04/kf/H3f0b41d3ed094b348fae2ff5a9358289c.jpg_300x300.jpg","false","true","true","Min. order: 2 units","GHS 46,927.02-51,873.05","https://www.alibaba.com/product-detail/New-China-Factory-s-GFRP-PU_1601258857805.html?priceId=51b79f2d6acb4546a36b8cb0c703fbec","5.0","2","5% off GHS 22,500","0","Qingdao Yakai Automotive Industry And Trade Co., Ltd.","CN","4 yrs","New China Factory's GFRP PU Foam Insulated Sandwich Panel Truck Body Box Transport Shacman Dongfeng Howo Included"
"","false","https://s.alicdn.com/@sc04/kf/Hcdb6345171c4436d90bb287bda7918a48.jpg_300x300.jpg","false","false","false","Min. order: 1 set","GHS 38,603.20-82,031.80","https://www.alibaba.com/product-detail/Second-Hand-Used-Heavy-Duty-Sinotruk_1601672597669.html?priceId=51b79f2d6acb4546a36b8cb0c703fbec","N/A","0","","0","Liangshan Shunchi Machinery Manufacturing Co., Ltd.","CN","1 yr","Second Hand Used Heavy Duty Sinotruk Howo 371 8x4 6x4 Tipper Dump Truck Perfect for Construction Mining Long Distance Transport"
"","false","https://s.alicdn.com/@sc04/kf/He3a3fb60c3b642059b1946a1d43044d68.jpg_300x300.jpg","false","false","true","Min. order: 1 piece","GHS 6,031.75","https://www.alibaba.com/product-detail/Powder-Coated-Truck-Crane-Man-Riding_1601923020651.html?priceId=51b79f2d6acb4546a36b8cb0c703fbec","N/A","0","5% off GHS 22,500","0","Zhengzhou Yuhang Jianji Equipment Co., Itd.","CN","1 yr","Powder Coated Truck Crane Man Riding Basket"
