badges,hasVideo,imageUrl,isAd,isCertified,isVerified,moq,price,productUrl,rating,reviews,sellingPoint,sold,supplier,supplierCountry,supplierYears,title
"","false","https://s.alicdn.com/@sc04/kf/Hfadb679089ee46b39fd6df7a728c76afT.jpg_300x300.jpg","false","false","false","Min. order: 1 unit","GHS 146,571.53-155,619.15","https://www.alibaba.com/product-detail/New-or-Used-Cars-BYD-Dolphin_1601378233507.html?priceId=47ea8832043247f58f705cf6ab2b0166","4.7","8","","0","Sichuan Carkiss Automobile Co., Ltd.","CN","3 yrs","New or Used Cars BYD Dolphin 2025 Rhd Right or Left Hand Glory 420km Range 4x4 Vehicles Battery Electric Car EV Sedan Cheap"
"","false","https://s.alicdn.com/@sc04/kf/He3ba7b7fac724e5eaeeee0eec7a24fb1H.jpg_300x300.jpg","false","false","true","Min. order: 1 unit","GHS 110,984.20-114,603.25","https://www.alibaba.com/product-detail/New-Hangcha-CPD25L-Electric-Forklift-Truck_1601863429522.html?priceId=47ea8832043247f58f705cf6ab2b0166","5.0","18","Reorder rate 71%","0","Newindu Construction Engineering (Shanghai) Co., Ltd.","CN","10 yrs","New Hangcha CPD25L Electric Forklift Truck 2.5 Ton Lithium Battery"
"","false","https://s.alicdn.com/@sc04/kf/H28a71f379f664bd2914dafc86a97f9831.jpg_300x300.jpg","false","false","true","Min. order: 1 unit","GHS 60,317.50-202,666.80","https://www.alibaba.com/product-detail/BYD-Pre-sale-Yangwang-U7-Extremely_1601128239267.html?priceId=47ea8832043247f58f705cf6ab2b0166","N/A","0","","0","Tianjin Yigang Automobile Sales Co., Ltd.","CN","4 yrs","BYD Pre-sale Yangwang U7 Extremely Powerful Luxury Electric Sedan Byd Electric Car Price in China"
"","false","https://s.alicdn.com/@sc04/kf/H2948788b3a924673acbb8c72ecb6924ar.jpg_300x300.jpg","false","false","true","Min. order: 1 piece","GHS 177,936.63-180,952.50","https://www.alibaba.com/product-detail/Used-2025-ICAR-Super-V23-401KM_1601937155248.html?priceId=47ea8832043247f58f705cf6ab2b0166","N/A","0","","0","Wuhan Yi Dian Dian Automotive Technology Co., Ltd.","CN","1 yr","Used 2025 ICAR Super V23 401KM 2WD Advanced Edition Pure Electric SUV 5 Door 5 Seater LHD Second Hand New Energy Vehicle"
"","false","https://s.alicdn.com/@sc04/kf/Hb8d50f4eda5245318d577dd2e4a752d4j.jpg_300x300.jpg","false","false","true","Min. order: 1 set","GHS 213,523.95-215,936.65","https://www.alibaba.com/product-detail/Wholesale-2025-New-New-Energy-Automobile_1600977428085.html?priceId=47ea8832043247f58f705cf6ab2b0166","5.0","7","","0","Xi'an Auto X Co., Ltd.","CN","3 yrs","Wholesale 2025 New New Energy Automobile Long Range Electric Car 605KM BYD Song Plus Ev Smart Edition Automotive"
"","false","https://s.alicdn.com/@sc04/kf/H054749a8b97f409998d6402e93ff34c4o.jpg_300x300.jpg","false","false","true","Min. order: 1 unit","GHS 144,762-150,793.75","https://www.alibaba.com/product-detail/New-HELI-1-5t-3-8t_1601766210975.html?priceId=47ea8832043247f58f705cf6ab2b0166","5.0","18","Reorder rate 71%","0","Newindu Construction Engineering (Shanghai) Co., Ltd.","CN","10 yrs","New HELI 1.5t-3.8t Electric Forklift CPD25 CPD30 CPD25-GB2Li-M CPD30-GB2Li-M With Paper Clamp In Stock"
"","false","https://s.alicdn.com/@sc04/kf/H328052d39cb548b29e42c25c7b0f7227Y.jpg_300x300.jpg","false","false","true","Min. order: 1 set","GHS 77,206.40-82,031.80","https://www.alibaba.com/product-detail/2026-BYD-Seagull-2026-Hot-Sale_1601370883269.html?priceId=47ea8832043247f58f705cf6ab2b0166","4.3","7","","0","Qingdao CHSHT Automobile Co., Ltd.","CN","2 yrs","2026 BYD Seagull 2026 Hot Sale Seagull Byd Electric Vehicles in Stock Byd Seagull 405km Flying Version New Electric Car in Stock"
"","false","https://s.alicdn.com/@sc04/kf/Hfc5f6e253c22480ebc899ce9b1a57a5bZ.png_300x300.png","false","true","true","Min. order: 1 piece","GHS 434.17-868.46","https://www.alibaba.com/product-detail/HOSHI-N416-RC-Cars-High-Speed_1600425393080.html?priceId=47ea8832043247f58f705cf6ab2b0166","4.7","257","180-day lowest prices","7 sold","Shenzhen Hoshi Electronic Technology Co., Ltd.","CN","6 yrs","HOSHI N416 RC Cars High Speed RC Truck 1/16 36KM/H Supersonic Monster Truck Off-Road Vehicle Electric Car 2.4G For Gift"
"","false","https://s.alicdn.com/@sc04/kf/H38be348622a84e3d9f3affd8b3dc6d2aq.jpg_300x300.jpg","false","false","true","Min. order: 1 unit","GHS 175,198.22-197,841.40","https://www.alibaba.com/product-detail/New-Energy-Vehicle-2026-BYD-Song_1601600547063.html?priceId=47ea8832043247f58f705cf6ab2b0166","4.5","2","","0","Taizhou Eautomobile Trading Co., Ltd.","CN","1 yr","New Energy Vehicle 2026 BYD Song L DM-i Flagship Hybrid SUV NEW ELECTRIC CAR Intelligent Family EV Global Import Ready"
"","false","https://s.alicdn.com/@sc04/kf/Hc9f4fb3ccbf941fabb975ac20f460b3eS.jpg_300x300.jpg","false","false","true","Min. order: 1 piece","GHS 97,931.50-102,539.75","https://www.alibaba.com/product-detail/Used-2026-Dongfeng-Nammi-01-Original_1601937894374.html?priceId=47ea8832043247f58f705cf6ab2b0166","N/A","0","","0","Wuhan Yi Dian Dian Automotive Technology Co., Ltd.","CN","1 yr","Used 2026 Dongfeng Nammi 01 Original Heart Edition 330Air Pure Electric Vehicle Second Hand City EV Hatchback"
"","false","https://s.alicdn.com/@sc04/kf/H2523061061df4d96927487416b34ac44A.jpg_300x300.jpg","false","false","true","Min. order: 1 set","GHS 95,156.89-119,283.89","https://www.alibaba.com/product-detail/Low-Price-Good-Quality-Electric-Cars_1601380036464.html?priceId=47ea8832043247f58f705cf6ab2b0166","3.8","12","5% off GHS 22,500","0","Shandong Yadi New Energy Automobile Co., Ltd.","CN","3 yrs","Low Price Good Quality Electric Cars Byd Seagull 5-Door 4-Seater Hatchback 405KM Long Range Electric Car Adult For Sale"
"","false","https://s.alicdn.com/@sc04/kf/Hf0ce3bce60b4454783a1a46f7b5c64e2Z.jpg_300x300.jpg","false","true","true","Min. order: 1 piece","GHS 482.42-964.96","https://www.alibaba.com/product-detail/HOSHI-N416-RC-Car-High-Speed_1600321966189.html?priceId=47ea8832043247f58f705cf6ab2b0166","4.7","257","","8 sold","Shenzhen Hoshi Electronic Technology Co., Ltd.","CN","6 yrs","HOSHI N416 RC Car High Speed Car 1/16 36KM/H Supersonic Monster Truck Off-Road Vehicle Electric Car Toys 2.4G Kids Gifts"
"","false","https://s.alicdn.com/@sc04/kf/H3f9cd3ea514440ddb3ce72f20b7c4b1cj.jpg_300x300.jpg","false","false","false","Min. order: 1 piece","GHS 107,353.09-138,718.19","https://www.alibaba.com/product-detail/Factory-Wholesale-Cheap-Hot-Sale-Used_1601230286168.html?priceId=47ea8832043247f58f705cf6ab2b0166","4.9","5","","0","Shaanxi Haochi Automotive Technology Co., Ltd.","CN","3 yrs","Factory Wholesale Cheap Hot Sale Used Cars 2024 BYD E2 New Energy Vehicle High Endurance Hybrid Electric Car for Adult"
"","false","https://s.alicdn.com/@sc04/kf/Hb22462a12dbb47f2b367683959d0f7bfw.jpg_300x300.jpg","false","false","true","Min. order: 1 piece","GHS 269,040.18-271,428.75","https://www.alibaba.com/product-detail/Used-2023-AVATR-11-HarmonyOS-90kWh_1601937530503.html?priceId=47ea8832043247f58f705cf6ab2b0166","N/A","0","","0","Wuhan Yi Dian Dian Automotive Technology Co., Ltd.","CN","1 yr","Used 2023 AVATR 11 HarmonyOS 90kWh Rear Wheel Drive Pure Electric SUV Second Hand Smart New Energy Vehicle"
"","false","https://s.alicdn.com/@sc04/kf/H130a1b0ae5084dc9ac6be72a9d7fa3ceT.jpg_300x300.jpg","false","false","true","Min. order: 1 unit","GHS 107,823.57-107,980.39","https://www.alibaba.com/product-detail/2024-BYD-E2-New-Energy-Car_1601362233925.html?priceId=47ea8832043247f58f705cf6ab2b0166","5.0","4","Reorder rate 33%","0","Chengdu Ruicheng Automotive Service Co., Ltd","CN","5 yrs","2024 BYD E2 New Energy Car Cheap EV Cars Left Steering Electric Cars New in Stock"
"","false","https://s.alicdn.com/@sc04/kf/H7c5919e179a34811b8d02b0fcdcce3b41.jpg_300x300.jpg","false","true","true","Min. order: 1 piece","GHS 76.49","https://www.alibaba.com/product-detail/Tscinbuny-4WD-Smart-Robot-Car-Transparent_1601583279220.html?priceId=47ea8832043247f58f705cf6ab2b0166","4.7","9","180-day lowest prices","3 sold","Shenzhen Zhiyi Technology Co., Ltd.","CN","6 yrs","Tscinbuny 4WD Smart Robot Car Transparent Chassis For Education & Maker Boards Smart Car DIY Robot Kit For Arduino"
"","false","https://s.alicdn.com/@sc04/kf/Ha54e02d7711e47bc9acf9d9185261711B.png_300x300.png","false","false","false","Min. order: 1 unit","GHS 113,457.22","https://www.alibaba.com/product-detail/Byd-Used-Electric-Car-High-Quality_1601272296741.html?priceId=47ea8832043247f58f705cf6ab2b0166","N/A","0","","0","Sichuan Liangang Bonded Service Co., Ltd.","CN","3 yrs","Byd Used Electric Car High-Quality Service Used Electric Car Comfortable Ride Used Electric Car"
"","false","https://s.alicdn.com/@sc04/kf/Hdc7e29a4b72e415cb4a502662713a268y.jpg_300x300.jpg","false","false","true","Min. order: 1 unit","GHS 301,587.50","https://www.alibaba.com/product-detail/2026New-Vehicle-BYD-Sea-Lion-06_1601827358680.html?priceId=47ea8832043247f58f705cf6ab2b0166","4.4","10","","0","Wuhan Jicheng Zhongxin Automobile Sales Co., Ltd.","CN","2 yrs","2026New Vehicle BYD Sea Lion 06, Sedan Electric Range: 605 Km Left Hand/Right Hand Panoramic Sunroof Driver Assistance"
"","false","https://s.alicdn.com/@sc04/kf/H67e3cc0f8841401883147f1a84cd8becz.jpg_300x300.jpg","false","true","true","Min. order: 1 set","GHS 112,045.79-124,712.47","https://www.alibaba.com/product-detail/NEW-Pure-Byd-Yuan-up-Pure_1601097760518.html?priceId=47ea8832043247f58f705cf6ab2b0166","4.8","14","","0","Henan Hesu Group Co., Ltd.","CN","5 yrs","NEW Pure Byd Yuan up Pure Electric Car Byd New Energy Vehicle Sale Best Suv for the Money Battery Powered Car Yuan up Byd"
"","false","https://s.alicdn.com/@sc04/kf/Hb6e93590ca2149e4bfc1c50f58d80ce3R.jpg_300x300.jpg","false","false","false","Min. order: 1 piece","GHS 18,095.25-30,158.75","https://www.alibaba.com/product-detail/Resort-Villa-Private-4-Seater-Electric_1601733256171.html?priceId=47ea8832043247f58f705cf6ab2b0166","N/A","0","Reorder rate 16%","0","Shandong Meeko New Energy Tech Inc.","CN","1 yr","Resort Villa Private 4 Seater Electric Golf Cart 72V Long Range Luxury Leisure Family Vacation Car"
"","false","https://s.alicdn.com/@sc04/kf/H8b279758dcd247188c8ac28255bcfb91t.jpg_300x300.jpg","false","false","false","Min. order: 1 unit","GHS 380,000.25-395,682.80","https://www.alibaba.com/product-detail/2025-New-Car-Byd-Tang-L_10000029550696.html?priceId=47ea8832043247f58f705cf6ab2b0166","1.0","1","5% off GHS 22,500","0","Chongqing Niude Trade Co., Ltd.","CN","6 yrs","2025 New Car Byd Tang L Electric Suv 108.8 kwh 670km Range Ready for Shipping Byd Tang Ev Cars"
